review_id,text,aspects,sentiments,rating
R0001,"Amazing cuisine, the steak was cooked to perfection. The service was impeccable, quick and professional.","food,service","positive,positive",5
R0002,Poor cleanliness. The bathroom was disgusting. Great deals and fair prices.,"cleanliness,price","negative,positive",3
R0003,"Wonderful ambiance, perfect for a date night. Not worth the price at all. Very expensive.","ambiance,price","positive,negative",3
R0004,Best salad I've ever had. The flavors were incredible.,food,positive,5
R0005,"Outstanding customer service. Our waiter was amazing. Standard pricing, what you'd expect.","service,price","positive,neutral",5
R0006,Superb taste! The seafood was fresh and flavorful. Great value for money! Very affordable prices.,"food,price","positive,positive",4
R0007,Superb taste! The seafood was fresh and flavorful. Poor ambiance. The place felt cramped and stuffy.,"food,ambiance","positive,negative",3
R0008,"Outstanding food quality. The pasta dish was phenomenal. Cleanliness was acceptable, standard level. Love the decor and lighting. Very pleasant environment.","food,cleanliness,ambiance","positive,neutral,positive",5
R0009,Great service throughout our meal. Very welcoming. Beautiful atmosphere! The restaurant has a cozy and romantic ambiance.,"service,ambiance","positive,positive",5
R0010,Way too expensive for what you get. Overpriced.,price,negative,2
R0011,Poor cleanliness. The bathroom was disgusting. Great deals and fair prices. Very unpleasant environment. Too loud to have a conversation.,"cleanliness,price,ambiance","negative,positive,negative",1
R0012,Pristine conditions. Bathrooms were immaculate. Outstanding customer service. Our waiter was amazing.,"cleanliness,service","positive,positive",4
R0013,Bad lighting and uncomfortable seating. Not pleasant.,ambiance,negative,1
R0014,Pristine conditions. Bathrooms were immaculate. Outstanding customer service. Our waiter was amazing.,"cleanliness,service","positive,positive",5
R0015,"Amazing cuisine, the seafood was cooked to perfection.",food,positive,5
R0016,"Wonderful staff, very accommodating and helpful. Wonderful ambiance, perfect for a date night.","service,ambiance","positive,positive",4
R0017,"Affordable and worth every penny. Wonderful ambiance, perfect for a date night.","price,ambiance","positive,positive",5
R0018,"Average atmosphere, nothing special about the decor. Poor customer service. Staff was unprofessional.","ambiance,service","neutral,negative",1
R0019,Great deals and fair prices.,price,positive,5
R0020,"Affordable and worth every penny. Wonderful ambiance, perfect for a date night.","price,ambiance","positive,positive",4
R0021,The food was absolutely delicious! pasta highly recommend the I. Stunning interior design. Very comfortable setting. Worst service ever. They forgot our order twice.,"food,ambiance,service","positive,positive,negative",5
R0022,Food was not fresh at all. The pasta made me sick.,food,negative,2
R0023,Very clean restaurant. Everything was spotless. Love the decor and lighting. Very pleasant environment.,"cleanliness,ambiance","positive,positive",4
R0024,"Love the decor and lighting. Very pleasant environment. Average cleanliness, nothing concerning.","ambiance,cleanliness","positive,neutral",5
R0025,"The service was impeccable, quick and professional. Way too expensive for what you get. Overpriced. Overcooked and tasteless. The pasta was inedible.","service,price,food","positive,negative,negative",1
R0026,"Best pasta I've ever had. The flavors were incredible. Excellent hygiene standards. Very well maintained. Wonderful ambiance, perfect for a date night.","food,cleanliness,ambiance","positive,positive,positive",5
R0027,The atmosphere was warm and inviting. Great music too.,ambiance,positive,5
R0028,Pristine conditions. Bathrooms were immaculate. Rude staff and long wait times. Very frustrating.,"cleanliness,service","positive,negative",3
R0029,Affordable and worth every penny. The food was disappointing. The risotto was cold and bland.,"price,food","positive,negative",3
R0030,The food was disappointing. The salad was cold and bland.,food,negative,2
R0031,"Superb taste! The pasta was fresh and flavorful. Very reasonable pricing. Good bang for your buck. Standard ambiance, neither good nor bad.","food,price,ambiance","positive,positive,neutral",5
R0032,Excellent hygiene standards. Very well maintained.,cleanliness,positive,5
R0033,Best pizza I've ever had. The flavors were incredible. Dirty tables and floors. Very unhygienic.,"food,cleanliness","positive,negative",3
R0034,Excellent hygiene standards. Very well maintained. Ridiculously overpriced. Poor value for money. Great service throughout our meal. Very welcoming.,"cleanliness,price,service","positive,negative,positive",4
R0035,Poor ambiance. The place felt cramped and stuffy.,ambiance,negative,2
R0036,Great value for money! Very affordable prices.,price,positive,4
R0037,"Wonderful ambiance, perfect for a date night. The food was absolutely delicious! risotto highly recommend the I. Affordable and worth every penny.","ambiance,food,price","positive,positive,positive",5
R0038,Poor ambiance. The place felt cramped and stuffy.,ambiance,negative,1
R0039,"Very reasonable pricing. Good bang for your buck. Amazing cuisine, the risotto was cooked to perfection. Beautiful atmosphere! The restaurant has a cozy and romantic ambiance.","price,food,ambiance","positive,positive,positive",5
R0040,Great value for money! Very affordable prices.,price,positive,5
R0041,Poor customer service. Staff was unprofessional.,service,negative,1
R0042,Great deals and fair prices. The atmosphere was warm and inviting. Great music too.,"price,ambiance","positive,positive",4
R0043,Impeccably clean environment. Very hygienic.,cleanliness,positive,5
R0044,"Amazing cuisine, the steak was cooked to perfection. Beautiful atmosphere! The restaurant has a cozy and romantic ambiance.","food,ambiance","positive,positive",5
R0045,Excellent prices for the quality you get. Very clean restaurant. Everything was spotless.,"price,cleanliness","positive,positive",5
R0046,Average service. Staff was polite but not very attentive. Superb taste! The risotto was fresh and flavorful.,"service,food","neutral,positive",4
R0047,"Excellent prices for the quality you get. Amazing cuisine, the pizza was cooked to perfection.","price,food","positive,positive",4
R0048,Very reasonable pricing. Good bang for your buck. Terrible hygiene. The place was filthy. Great service throughout our meal. Very welcoming.,"price,cleanliness,service","positive,negative,positive",4
R0049,Worst service ever. They forgot our order twice.,service,negative,1
